Symptom,Age Group,Medicine,Dosage
Headache (mild),Below 1 year,Paracetamol,15 mg/kg every 6 hrs
Headache (mild),1-3 years,Paracetamol,120mg every 6 hrs
Headache (mild),3-6 years,Paracetamol,250mg every 6 hrs
Headache (mild),6-15 years,Paracetamol,500mg every 6 hrs
Headache (mild),Above 15 years,Paracetamol,500-650mg every 6-8 hrs
Headache (high),Below 1 year,Ibuprofen,5-10 mg/kg every 8 hrs
Headache (high),1-3 years,Ibuprofen,100mg every 8 hrs
Headache (high),3-6 years,Ibuprofen,200mg every 8 hrs
Headache (high),6-15 years,Ibuprofen,300mg every 8 hrs
Headache (high),Above 15 years,Ibuprofen,400mg every 8 hrs
Eye itching,Below 1 year,Olopatadine drops,1 drop twice daily
Eye itching,1-3 years,Olopatadine drops,1 drop twice daily
Eye itching,3-6 years,Olopatadine drops,1 drop twice daily
Eye itching,6-15 years,Olopatadine drops,1 drop twice daily
Eye itching,Above 15 years,Olopatadine drops,1 drop twice daily
Ear pain,Below 1 year,Amoxicillin,40 mg/kg/day in 3 doses
Ear pain,1-3 years,Amoxicillin,125mg every 8 hrs
Ear pain,3-6 years,Amoxicillin,250mg every 8 hrs
Ear pain,6-15 years,Amoxicillin,375mg every 8 hrs
Ear pain,Above 15 years,Amoxicillin,500mg every 8 hrs
Nose blocking,Below 1 year,Saline/Oxymetazoline,2 drops as needed
Nose blocking,1-3 years,Saline/Oxymetazoline,2 drops as needed
Nose blocking,3-6 years,Saline/Oxymetazoline,2-3 drops as needed
Nose blocking,6-15 years,Saline/Oxymetazoline,1 spray twice daily
Nose blocking,Above 15 years,Saline/Oxymetazoline,1 spray daily
Mouth ulcers,Below 1 year,Lidocaine gel,apply 2 times daily
Mouth ulcers,1-3 years,Lidocaine gel,apply 2-3 times daily
Mouth ulcers,3-6 years,Lidocaine gel,apply 3 times daily
Mouth ulcers,6-15 years,Lidocaine gel,apply 3 times daily
Mouth ulcers,Above 15 years,Lidocaine gel,apply 2-3 times daily
Throat pain,Below 1 year,Paracetamol,15 mg/kg every 6 hrs
Throat pain,1-3 years,Paracetamol,120mg every 6 hrs
Throat pain,3-6 years,Paracetamol,250mg every 6 hrs
Throat pain,6-15 years,Paracetamol,500mg every 6 hrs
Throat pain,Above 15 years,Paracetamol,500-650mg every 6-8 hrs
Body pains,Below 1 year,Ibuprofen,5-10 mg/kg every 8 hrs
Body pains,1-3 years,Ibuprofen,100mg every 8 hrs
Body pains,3-6 years,Ibuprofen,200mg every 8 hrs
Body pains,6-15 years,Ibuprofen,300mg every 8 hrs
Body pains,Above 15 years,Ibuprofen,400mg every 8 hrs
Stomach pain,Below 1 year,Dicyclomine,Not recommended
Stomach pain,1-3 years,Dicyclomine,5mg twice daily
Stomach pain,3-6 years,Dicyclomine,10mg twice daily
Stomach pain,6-15 years,Dicyclomine,10mg twice daily
Stomach pain,Above 15 years,Dicyclomine,10mg twice daily
Acidity,Below 1 year,Omeprazole,Not recommended
Acidity,1-3 years,Omeprazole,10mg daily
Acidity,3-6 years,Omeprazole,10mg daily
Acidity,6-15 years,Omeprazole,20mg daily
Acidity,Above 15 years,Omeprazole,20mg daily
Vomiting,Below 1 year,Ondansetron,1mg twice daily
Vomiting,1-3 years,Ondansetron,2mg twice daily
Vomiting,3-6 years,Ondansetron,2mg twice daily
Vomiting,6-15 years,Ondansetron,4mg twice daily
Vomiting,Above 15 years,Ondansetron,4mg twice daily
Fever,Below 1 year,Paracetamol,15 mg/kg every 6 hrs
Fever,1-3 years,Paracetamol,120mg every 6 hrs
Fever,3-6 years,Paracetamol,250mg every 6 hrs
Fever,6-15 years,Paracetamol,500mg every 6 hrs
Fever,Above 15 years,Paracetamol,500-650mg every 6-8 hrs
Eye redness,Below 1 year,Lubricant drops,1 drop 2 times daily
Eye redness,1-3 years,Lubricant drops,1 drop 2 times daily
Eye redness,3-6 years,Lubricant drops,1 drop 3 times daily
Eye redness,6-15 years,Lubricant drops,1 drop 3 times daily
Eye redness,Above 15 years,Lubricant drops,1 drop 2-3 times daily
Back pain,Below 1 year,Ibuprofen,5-10 mg/kg every 8 hrs
Back pain,1-3 years,Ibuprofen,100mg every 8 hrs
Back pain,3-6 years,Ibuprofen,200mg every 8 hrs
Back pain,6-15 years,Ibuprofen,300mg every 8 hrs
Back pain,Above 15 years,Ibuprofen,400mg every 8 hrs
Toothache,Below 1 year,Paracetamol,15 mg/kg every 6 hrs
Toothache,1-3 years,Paracetamol,120mg every 6 hrs
Toothache,3-6 years,Paracetamol,250mg every 6 hrs
Toothache,6-15 years,Paracetamol,500mg every 6 hrs
Toothache,Above 15 years,Paracetamol,500-650mg every 6-8 hrs
Neck pain,Below 1 year,Ibuprofen,5-10 mg/kg every 8 hrs
Neck pain,1-3 years,Ibuprofen,100mg every 8 hrs
Neck pain,3-6 years,Ibuprofen,200mg every 8 hrs
Neck pain,6-15 years,Ibuprofen,300mg every 8 hrs
Neck pain,Above 15 years,Ibuprofen,400mg every 8 hrs
Loose motions,Below 1 year,ORS Solution,50ml after each stool
Loose motions,1-3 years,ORS Solution,50-100ml after each stool
Loose motions,3-6 years,ORS Solution,100ml after each stool
Loose motions,6-15 years,ORS Solution,200ml after each stool
Loose motions,Above 15 years,ORS Solution,250ml after each stool
Body weakness,Below 1 year,Multivitamin,Not recommended
Body weakness,1-3 years,Multivitamin,5ml syrup daily
Body weakness,3-6 years,Multivitamin,5ml syrup daily
Body weakness,6-15 years,Multivitamin,1 tablet daily
Body weakness,Above 15 years,Multivitamin,1 tablet daily
Cold,Below 1 year,Cetirizine,Not recommended
Cold,1-3 years,Cetirizine,2.5mg daily
Cold,3-6 years,Cetirizine,5mg daily
